Debt	Spread	GDPac	GDPstd	TBstd	Rstd	Cstd	R&GDP	TB&GDP	L&GDP	IM&GDP	TB&R	L&R	IM&R	D&GDP	Dlow	Drec	Dfreq	GDPdrop
39.05	0.42	0.29	3.26	0.83	0.21	1.15	-0.61	-0.64	0.74	0.74	0.58	-0.77	-0.72	-0.18	100.00	97.28	0.10	-14.13	
39.05	0.42	0.29	3.26	0.82	0.21	1.15	-0.61	-0.65	0.74	0.74	0.58	-0.77	-0.72	-0.17	100.00	96.76	0.10	-14.12	
39.05	0.42	0.29	3.26	0.82	0.21	1.15	-0.61	-0.65	0.74	0.74	0.58	-0.77	-0.72	-0.17	100.00	96.90	0.10	-14.11	
39.05	0.42	0.30	3.26	0.82	0.21	1.15	-0.61	-0.65	0.74	0.74	0.58	-0.77	-0.72	-0.17	100.00	97.12	0.10	-14.12	
39.05	0.42	0.29	3.26	0.82	0.21	1.15	-0.61	-0.65	0.74	0.74	0.58	-0.77	-0.72	-0.17	100.00	97.49	0.10	-14.01	
39.05	0.42	0.30	3.26	0.81	0.21	1.15	-0.61	-0.65	0.74	0.74	0.59	-0.77	-0.73	-0.17	100.00	97.04	0.09	-14.11	
39.04	0.42	0.29	3.26	0.84	0.21	1.15	-0.61	-0.64	0.74	0.74	0.58	-0.77	-0.72	-0.17	100.00	96.09	0.10	-14.16	
39.05	0.42	0.29	3.26	0.82	0.21	1.15	-0.61	-0.65	0.74	0.74	0.58	-0.77	-0.72	-0.17	100.00	97.58	0.10	-14.00	
22.28	0.55	0.71	4.60	0.85	0.50	1.07	-0.03	-0.32	0.55	0.96	0.01	0.05	-0.03	-0.11	99.04	47.02	0.13	-14.51	
22.28	0.55	0.71	4.61	0.85	0.51	1.07	-0.03	-0.32	0.55	0.96	0.01	0.05	-0.04	-0.11	99.70	48.08	0.12	-14.61	
22.28	0.55	0.94	10.42	NaN	0.51	1.01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.07	97.51	15.21	0.13	-15.15	
22.28	0.55	0.71	4.60	0.85	0.50	1.07	-0.03	-0.32	0.55	0.96	0.01	0.05	-0.04	-0.11	99.05	47.97	0.13	-14.52	
39.05	0.42	0.29	3.26	0.82	0.21	1.15	-0.61	-0.64	0.74	0.74	0.58	-0.77	-0.72	-0.17	100.00	96.91	0.10	-14.08	
22.28	0.55	0.71	4.60	0.85	0.51	1.07	-0.03	-0.32	0.55	0.96	0.02	0.04	-0.04	-0.11	99.02	48.20	0.13	-14.59	
22.28	0.55	0.71	4.61	0.85	0.51	1.07	-0.03	-0.32	0.55	0.96	0.02	0.04	-0.04	-0.11	98.96	48.30	0.13	-14.57	
22.28	0.55	0.71	4.62	0.85	0.51	1.07	-0.03	-0.32	0.55	0.96	0.02	0.04	-0.04	-0.11	99.43	50.28	0.13	-14.52	
22.28	0.55	0.71	4.62	0.85	0.50	1.07	-0.03	-0.32	0.55	0.96	0.01	0.05	-0.03	-0.11	98.85	47.26	0.13	-14.52	
22.28	0.55	0.71	4.60	0.85	0.51	1.07	-0.03	-0.32	0.55	0.96	0.01	0.05	-0.04	-0.11	99.62	47.31	0.13	-14.57	
22.28	0.55	0.71	4.60	0.85	0.51	1.07	-0.03	-0.32	0.55	0.96	0.01	0.05	-0.04	-0.11	99.50	51.58	0.13	-14.52	
22.28	0.55	0.71	4.60	0.86	0.50	1.07	-0.03	-0.32	0.55	0.96	0.01	0.05	-0.03	-0.11	99.26	47.00	0.14	-14.56	
